,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
2778,1701561230,8180a1ef16965e71922589de27d56118,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560902570,4 extra columns added for this controller,Dame ___ full cup,la,1,3,22,B,Dame la full cup,el,la,full,cup,4033
2784,1701561230,8180a1ef16965e71922589de27d56118,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560910137,4 extra columns added for this controller,Yo compré ___ cheap table,el,0,3,2,B,Yo compré la cheap table,el,la,cheap,table,4667
2790,1701561230,8180a1ef16965e71922589de27d56118,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560917721,4 extra columns added for this controller,Seguimos ___ recipe,la complicada,1,3,25,C,Seguimos la complicada recipe,el complicado,la complicada,complicado/complicada,recipe,4884
2796,1701561230,8180a1ef16965e71922589de27d56118,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560925671,4 extra columns added for this controller,Miguel tiene ___ bike,la,1,3,23,A,Miguel tiene la bike,el,la,none,bicycle,5767
2802,1701561230,8180a1ef16965e71922589de27d56118,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560934538,4 extra columns added for this controller,Me caí en ___ icy sidewalk,el,0,3,18,B,Me caí en la icy sidewalk,el,la,icy,sidewalk,5167
2808,1701561230,8180a1ef16965e71922589de27d56118,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560938254,4 extra columns added for this controller,Él cerró ___ door,la,1,3,3,A,Él cerró la door,el,la,none,door,1683
2814,1701561230,8180a1ef16965e71922589de27d56118,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560948405,4 extra columns added for this controller,Yo escogí ___ fresh apple,la,1,3,26,B,Yo escogí la fresh apple,el,la,fresh,apple,4317
2820,1701561230,8180a1ef16965e71922589de27d56118,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560960288,4 extra columns added for this controller,Ella hizo ___ cookie,la deliciosa,1,3,21,C,Ella hizo la deliciosa cookie,el delicioso,la deliciosa,delicioso/deliciosa,cookie,6000
2826,1701561230,8180a1ef16965e71922589de27d56118,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560965088,4 extra columns added for this controller,Él vendió ___ guitar,la,1,3,15,A,Él vendió la guitar,el,la,none,guitar,2250
2832,1701561230,8180a1ef16965e71922589de27d56118,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560977238,4 extra columns added for this controller,Él tomó ___ chair,la,1,3,19,A,Él tomó la chair,el,la,none,chair,7866
2838,1701561230,8180a1ef16965e71922589de27d56118,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560987439,4 extra columns added for this controller,Ella odia ___ ugly sculpture,el,0,3,14,B,Ella odia la ugly sculpture,el,la,ugly,sculpture,5067
2844,1701561230,8180a1ef16965e71922589de27d56118,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701560994372,4 extra columns added for this controller,Tallamos ___ pumpkin,la naranja,1,3,13,C,Tallamos la naranja pumpkin,el naranjo,la naranja,naranjo/a,pumpkin,2717
2850,1701561230,8180a1ef16965e71922589de27d56118,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561003206,4 extra columns added for this controller,Él visitó ___ beach ___,la%2C famosa,1,3,24,D,Él visitó la beach famosa,el%2C famoso,la%2C famosa,famoso/famosa,beach,7251
2856,1701561230,8180a1ef16965e71922589de27d56118,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561017823,4 extra columns added for this controller,Pásame ___ t-shirt,la roja,1,3,1,C,Pásame la roja t-shirt,el rojo,la roja,rojo/a,t-shirt,12284
2862,1701561230,8180a1ef16965e71922589de27d56118,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561021523,4 extra columns added for this controller,Tú nadaste en ___ pool,el,0,3,31,A,Tú nadaste en la pool,el,la,none,pool,2417
2868,1701561230,8180a1ef16965e71922589de27d56118,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561037240,4 extra columns added for this controller,Ellos leen ___ letter ___,la%2C larga,1,3,12,D,Ellos leen la letter larga,el%2C largo,la%2C larga,largo/large,letter,6784
2874,1701561230,8180a1ef16965e71922589de27d56118,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561050273,4 extra columns added for this controller,A ella le encanta ___ bag,la cara,1,3,17,C,A ella le encanta la cara bag,el caro,la cara,caro/cara,bag,11150
2880,1701561230,8180a1ef16965e71922589de27d56118,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561056123,4 extra columns added for this controller,Yo di ___ answer ___,la%2C correcta ,1,3,20,D,Yo di la answer correcta,el%2C correcto,la%2C correcta ,correcto/correcta,answer,3500
2886,1701561230,8180a1ef16965e71922589de27d56118,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561066690,4 extra columns added for this controller,Ella arregló ___ machine ___,la%2C rota,1,3,8,D,Ella arregló la machine rota,el%2C roto,la%2C rota,roto/a,machine,6750
2892,1701561230,8180a1ef16965e71922589de27d56118,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561077324,4 extra columns added for this controller,Él usó ___ computer ___,el%2C nuevo,0,3,16,D,Él usó la computer nueva,el%2C nuevo,la%2C nueva,nuevo/nueva,computer,5450
2898,1701561230,8180a1ef16965e71922589de27d56118,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561085541,4 extra columns added for this controller,Comí ___ grape,la podrida,1,3,9,C,Comí la podrida grape,el podrido,la podrida,podrido/podrida,grape,1917
2904,1701561230,8180a1ef16965e71922589de27d56118,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561091807,4 extra columns added for this controller,Ella se metió en ___ empty bathtub,el,0,3,30,B,Ella se metió en la empty bathtub,el,la,empty,bathtub,3600
2910,1701561230,8180a1ef16965e71922589de27d56118,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561099924,4 extra columns added for this controller,Ellos abrieron ___ window ___,la%2C pequeña,1,3,4,D,Ellos abrieron la window pequeña,el%2C pequeño,la%2C pequeña,pequeño/a,window,4217
2916,1701561230,8180a1ef16965e71922589de27d56118,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701561109208,4 extra columns added for this controller,A él le gusta ___ beautiful painting,la,1,3,6,B,A él le gusta la beautiful painting,el,la,beautiful,painting,3800
